Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Nena MaldiciÃ¯Â¿Â½Ã¯Â¿Â½n (feat. Lenny TavÃ¯Â¿,Nena Maldicion (feat. Lenny Tavarez),Paulo Londra,1/30/2018,TCADL1878978,"2,546",28.1,614897887,19568.0,"3,797,350",,1332773890,"6,926,941",,,0,"150,232,863",0.0,,,10.0,"82,810",0.0,0,,,,,0
Talk talk,BRAT,Charli xcx,6/7/2024,USAT22401345,"2,540",28.1,6446985,830.0,"35,947,142",,201264,"3,929",,"9,765",78500,,52.0,156,,27.0,"1,854,240",85.0,190049,20,"34,613","4,307",,0
Daisy,Daisy,Ashnikko,7/9/2020,GBAYE2000596,"2,543",28.1,509353753,87580.0,"20,339,605",63.0,231541575,"3,846,027","893,392","124,467,502",842856226,"1,767,008",45.0,"14,716",112,21.0,"15,708",3.0,18916451,"32,263",,"2,842,135",,1
Fast Forward,GAME PLAN,JEON SOMI,8/7/2023,KSA002301968,"2,556",28.0,88499180,9715.0,"3,943,924",59.0,134376601,"256,505","58,748","54,797,372",291191318,"48,337,673",16.0,"1,383",33,8.0,"271,497",23.0,190079,291,,"258,644",,0
Ice Attack,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402029,"2,553",28.0,38912003,9619.0,"2,346,613",,3915932,"59,814",,,0,"1,596,946",4.0,46,,1.0,"41,760",0.0,459198,307,,"58,111",,1
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,1/1/2013,DEL211300741,"2,558",28.0,1460945792,331171.0,"51,661,945",76.0,224150562,"1,926,122","677,541","194,210,296",2134365963,"389,692",83.0,"36,736",115,111.0,"1,223,193",21.0,0,,,"24,485,799",,0
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,3/17/2023,USA2P2251867,"2,554",28.0,350802342,12581.0,"16,368,476",76.0,150660549,"5,807,332","182,865","104,841,360",494628703,"166,154,392",5.0,"2,402",,24.0,"4,592,140",8.0,2552268,686,,"437,897",,1
Satu Rasa Cinta,Satu Rasa Cinta,Fira Cantika,12/16/2022,IDA601902645,"2,555",28.0,0,1.0,3,,1858910,"8,964","2,400,948","5,143,214",133463784,,0.0,,,0.0,,0.0,0,,,,,0
Azul,Colores,J Balvin,3/19/2020,USUM72001731,"2,557",28.0,489654759,60072.0,"13,255,516",63.0,478807073,"3,205,287","731,500","39,869,163",491920895,"34,068,017",92.0,"14,340",41,28.0,"1,649,348",21.0,52380337,"11,309",,"994,262",,0
LOCATION,LOCATION,KAROL G,2/12/2021,USUM72023897,"2,551",28.0,236644328,36130.0,"7,600,107",50.0,525752748,"3,073,337","182,529","34,209,228",329180615,"25,193,373",56.0,"29,536",18,17.0,"120,355",36.0,9793641,"3,562",,"962,269",,1
Terminator,Terminator,King Promise,5/5/2023,GBARL2300512,"2,559",28.0,34026239,8723.0,"6,659,055",58.0,56469190,"290,499","1,047,639","28,395,882",391501573,"57,032,887",23.0,"3,290",4,2.0,"5,829",0.0,351027,246,,"527,365",,0
